Temp;25;Fri Jan 20 2017 19:59:02 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:02 GMT+0100 (CET);
Light;194;Fri Jan 20 2017 19:59:03 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:03 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:03 GMT+0100 (CET);
Light;91;Fri Jan 20 2017 19:59:04 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:04 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:04 GMT+0100 (CET);
Light;190;Fri Jan 20 2017 19:59:05 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:05 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:05 GMT+0100 (CET);
Light;190;Fri Jan 20 2017 19:59:06 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:06 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:06 GMT+0100 (CET);
Light;80;Fri Jan 20 2017 19:59:07 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:07 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:07 GMT+0100 (CET);
Light;183;Fri Jan 20 2017 19:59:08 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:08 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:08 GMT+0100 (CET);
Light;186;Fri Jan 20 2017 19:59:09 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:09 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:09 GMT+0100 (CET);
Light;91;Fri Jan 20 2017 19:59:10 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:10 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:10 GMT+0100 (CET);
Light;183;Fri Jan 20 2017 19:59:11 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:11 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:11 GMT+0100 (CET);
Light;190;Fri Jan 20 2017 19:59:12 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:12 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:12 GMT+0100 (CET);
Light;91;Fri Jan 20 2017 19:59:13 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:13 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:13 GMT+0100 (CET);
Light;202;Fri Jan 20 2017 19:59:14 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:14 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:14 GMT+0100 (CET);
Light;179;Fri Jan 20 2017 19:59:15 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:15 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:15 GMT+0100 (CET);
Light;95;Fri Jan 20 2017 19:59:16 GMT+0100 (CET);
